month,airline,delay,carrierd,extrmwd,nasd,securityd,latarrd,temperature,humidity,visibility,wind_s,hour_c
Nov,JetBlue Airways,41,29,0,0,0,0,47,39,10,7,afternoon
Nov,Republic Airways,25,0,0,4,0,25,47,39,10,7,afternoon
Nov,American Airlines,38,0,0,0,0,0,47,39,10,7,afternoon
Nov,Alaska Airlines,5,0,0,0,0,0,46,44,10,6,night
Nov,JetBlue Airways,66,60,0,0,0,0,46,44,10,6,night
Nov,JetBlue Airways,6,0,0,0,0,0,46,44,10,6,night
Nov,JetBlue Airways,33,29,0,0,0,0,46,46,10,6,night
Nov,Delta Air Lines,2,0,0,0,0,0,46,46,10,6,night
Nov,Delta Air Lines,21,16,0,0,0,0,46,46,10,6,night
Nov,Delta Air Lines,4,0,0,0,0,0,46,46,10,6,night
Nov,JetBlue Airways,30,0,0,0,0,0,46,46,10,6,night
Nov,Delta Air Lines,10,0,0,0,0,0,46,46,10,6,night
Nov,Delta Air Lines,13,0,0,0,0,0,46,46,10,6,night
Nov,JetBlue Airways,47,7,0,0,0,9,46,46,10,5,night
Nov,Republic Airways,2,0,0,0,0,0,46,46,10,5,night
Nov,JetBlue Airways,49,19,0,0,0,0,46,46,10,5,night
Nov,JetBlue Airways,8,0,0,0,0,0,46,46,10,5,night
Nov,JetBlue Airways,10,0,0,0,0,0,46,46,10,5,night
Nov,JetBlue Airways,21,21,0,3,0,0,43,53,10,6,night
Nov,JetBlue Airways,45,45,0,5,0,0,43,53,10,6,night
Nov,JetBlue Airways,20,18,0,0,0,0,43,53,10,6,night
Nov,JetBlue Airways,29,29,0,11,0,0,43,53,10,6,night
Nov,JetBlue Airways,2,2,0,20,0,0,43,53,10,6,night
Nov,JetBlue Airways,40,40,0,3,0,0,43,56,10,7,night
Nov,JetBlue Airways,60,48,0,0,0,0,42,62,10,6,night
Nov,JetBlue Airways,32,0,0,25,0,32,38,79,10,6,morning
Nov,American Airlines,3,0,0,0,0,0,38,79,10,6,morning
Nov,JetBlue Airways,17,17,0,11,0,0,41,76,10,6,morning
Nov,Alaska Airlines,3,0,0,0,0,0,41,76,10,6,morning
Nov,JetBlue Airways,30,30,0,10,0,0,41,76,10,6,morning
Nov,American Airlines,39,16,0,0,0,0,41,76,10,6,morning
