Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Endeavor Air Inc. (9E)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","01/05/2022","5446","N906XJ","SYR","12:30","12:22","75","67","-8","12:38","16","0","0","0","0","0"
"9E","01/05/2022","5449","N913XJ","BWI","14:55","14:59","69","75","4","15:28","29","0","0","0","0","0"
"9E","01/05/2022","5460","N326PQ","IAD","14:55","15:41","82","84","46","16:10","29","20","0","2","0","26"
"9E","01/05/2022","5470","N931XJ","CLT","08:39","08:41","136","112","2","08:58","17","0","0","0","0","0"
"9E","01/05/2022","5494","N298PQ","RIC","21:00","20:53","107","113","-7","21:41","48","0","0","0","0","0"
"9E","01/06/2022","4629","N330PQ","ORF","09:55","09:51","87","71","-4","10:04","13","0","0","0","0","0"
"9E","01/06/2022","4634","N330PQ","ORF","21:15","21:10","96","97","-5","21:41","31","0","0","0","0","0"
"9E","01/06/2022","4635","N301PQ","MSP","14:59","14:59","207","216","0","15:28","29","0","0","0","0","0"
"9E","01/06/2022","4654","N602LR","DTW","19:40","19:43","140","135","3","20:25","42","0","0","0","0","0"
"9E","01/06/2022","4668","N349PQ","BTV","13:30","13:13","74","69","-17","13:29","16","0","0","0","0","0"
"9E","01/06/2022","4676","N538CA","DTW","07:10","07:05","133","134","-5","07:37","32","0","0","0","0","0"
"9E","01/06/2022","4716","N304PQ","ORD","11:12","11:07","169","182","-5","11:21","14","0","0","0","0","0"
"9E","01/06/2022","4726","N927XJ","ROC","09:46","09:43","84","79","-3","09:55","12","0","0","0","0","0"
"9E","01/06/2022","4761","N901XJ","CHS","08:30","08:18","138","158","-12","08:54","36","0","0","0","0","0"
"9E","01/06/2022","4778","N184GJ","IAD","21:00","00:00","82","0","0","00:00","0","0","0","0","0","0"
"9E","01/06/2022","4795","N538CA","BUF","21:35","21:31","99","102","-4","22:00","29","0","0","0","0","0"
"9E","01/06/2022","4801","N348PQ","IND","08:50","08:35","151","128","-15","08:53","18","0","0","0","0","0"
"9E","01/06/2022","4829","N314PQ","RDU","16:55","16:55","113","110","0","17:11","16","0","0","0","0","0"
"9E","01/06/2022","4855","N348PQ","BNA","20:05","20:13","160","207","8","21:03","50","8","0","47","0","0"
"9E","01/06/2022","4858","N336PQ","DTW","12:59","13:03","130","136","4","13:33","30","0","0","0","0","0"
"9E","01/06/2022","4865","N348PQ","ROC","15:10","15:05","92","92","-5","15:32","27","0","0","0","0","0"
"9E","01/06/2022","4872","N901XJ","RIC","14:55","14:54","99","89","-1","15:08","14","0","0","0","0","0"
"9E","01/06/2022","4873","N691CA","RDU","08:15","08:08","113","118","-7","08:45","37","0","0","0","0","0"
"9E","01/06/2022","4875","N341PQ","ROC","21:59","21:54","88","79","-5","22:14","20","0","0","0","0","0"
"9E","01/06/2022","4982","N306PQ","CLE","08:59","08:45","121","115","-14","09:03","18","0","0","0","0","0"
"9E","01/06/2022","4997","N602LR","CLE","13:59","13:55","119","99","-4","14:04","9","0","0","0","0","0"
"9E","01/06/2022","5011","N914XJ","CLT","19:50","19:42","139","134","-8","20:10","28","0","0","0","0","0"
"9E","01/06/2022","5020","N607LR","RIC","08:17","08:12","100","87","-5","08:31","19","0","0","0","0","0"
"9E","01/06/2022","5023","N341PQ","BNA","15:10","00:00","161","0","0","00:00","0","0","0","0","0","0"
"9E","01/06/2022","5041","N901XJ","IND","19:55","20:38","156","143","43","21:10","32","30","0","0","0","0"
"9E","01/06/2022","5043","N304PQ","CLE","18:55","18:52","123","101","-3","19:09","17","0","0","0","0","0"
"9E","01/06/2022","5053","N602LR","PIT","08:15","08:09","103","107","-6","08:36","27","0","0","0","0","0"
"9E","01/06/2022","5057","N314PQ","BUF","09:41","00:00","92","0","0","00:00","0","0","0","0","0","0"
"9E","01/06/2022","5074","N601LR","DTW","17:34","17:29","133","121","-5","17:54","25","0","0","0","0","0"
"9E","01/06/2022","5090","N331PQ","IND","14:55","14:52","149","153","-3","15:26","34","0","0","0","0","0"
"9E","01/06/2022","5113","N314PQ","RDU","11:42","11:35","106","100","-7","11:50","15","0","0","0","0","0"
"9E","01/06/2022","5183","N330PQ","SAV","14:55","14:47","148","146","-8","15:01","14","0","0","0","0","0"
"9E","01/06/2022","5199","N336PQ","BWI","08:45","08:41","80","64","-4","08:57","16","0","0","0","0","0"
"9E","01/06/2022","5207","N601LR","ORF","12:50","12:41","87","70","-9","12:52","11","0","0","0","0","0"
"9E","01/06/2022","5214","N182GJ","BWI","21:50","21:48","74","71","-2","22:11","23","0","0","0","0","0"
"9E","01/06/2022","5226","N349PQ","CHS","18:29","18:25","140","143","-4","18:53","28","0","0","0","0","0"
"9E","01/06/2022","5241","N927XJ","CHS","14:59","14:54","139","131","-5","15:06","12","0","0","0","0","0"
"9E","01/06/2022","5247","N299PQ","RDU","19:20","19:16","114","104","-4","19:32","16","0","0","0","0","0"
"9E","01/06/2022","5273","N298PQ","CVG","19:25","19:25","129","144","0","19:59","34","0","0","15","0","0"
"9E","01/06/2022","5282","N341PQ","BUF","17:19","00:00","93","0","0","00:00","0","0","0","0","0","0"
"9E","01/06/2022","5291","N153PQ","SAV","09:20","09:14","143","148","-6","09:35","21","0","0","0","0","0"
"9E","01/06/2022","5379","N490PX","CLT","17:00","16:56","134","126","-4","17:15","19","0","0","0","0","0"
"9E","01/06/2022","5412","N606LR","BNA","08:35","08:30","157","168","-5","08:48","18","0","0","0","0","0"
"9E","01/06/2022","5422","N294PQ","ORD","19:40","19:57","174","150","17","20:21","24","0","0","0","0","0"
"9E","01/06/2022","5446","N906XJ","SYR","12:30","12:25","75","63","-5","12:38","13","0","0","0","0","0"
"9E","01/06/2022","5449","N299PQ","BWI","14:55","14:59","69","65","4","15:21","22","0","0","0","0","0"
"9E","01/06/2022","5460","N294PQ","IAD","14:55","14:54","82","92","-1","15:24","30","0","0","0","0","0"
"9E","01/06/2022","5470","N913XJ","CLT","08:39","08:34","136","122","-5","08:49","15","0","0","0","0","0"
"9E","01/06/2022","5494","N927XJ","RIC","21:00","20:55","107","113","-5","21:27","32","0","0","0","0","0"
"9E","01/07/2022","4629","N311PQ","ORF","09:55","00:00","87","0","0","00:00","0","0","0","0","0","0"
