Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/03/2022","2829","N811NN","PHX","13:24","13:22","352","330","-2","13:40","18","0","0","0","0","0"
"AA","01/04/2022","0001","N102NN","LAX","07:30","07:27","394","384","-3","07:45","18","0","0","0","0","0"
"AA","01/04/2022","0003","N110AN","LAX","11:30","11:27","392","377","-3","11:43","16","0","0","0","0","0"
"AA","01/04/2022","0076","N105NN","SFO","07:00","07:11","413","410","11","07:29","18","0","0","0","0","0"
"AA","01/04/2022","0117","N107NN","LAX","19:30","19:26","394","387","-4","19:49","23","0","0","0","0","0"
"AA","01/04/2022","0171","N112AN","LAX","06:00","06:37","394","364","37","06:54","17","0","0","0","0","0"
"AA","01/04/2022","0177","N109NN","SFO","20:10","20:06","409","405","-4","20:29","23","0","0","0","0","0"
"AA","01/04/2022","0179","N115NN","SFO","08:59","08:58","412","415","-1","09:19","21","0","0","0","0","0"
"AA","01/04/2022","0185","N105NN","LAX","21:30","23:03","389","388","93","23:20","17","13","0","0","0","79"
"AA","01/04/2022","0255","N113AN","LAX","10:00","11:11","392","389","71","11:32","21","68","0","0","0","0"
"AA","01/04/2022","0302","N111ZM","LAX","18:00","17:57","393","417","-3","18:10","13","0","0","21","0","0"
"AA","01/04/2022","0306","N116AN","LAX","16:30","16:48","394","377","18","17:09","21","0","0","0","0","0"
"AA","01/04/2022","0311","N709UW","CLT","13:40","13:38","129","102","-2","13:51","13","0","0","0","0","0"
"AA","01/04/2022","0327","N950NN","CLT","14:59","17:23","136","114","144","17:48","25","115","0","0","0","7"
"AA","01/04/2022","0341","N117AN","LAX","15:10","15:08","397","389","-2","15:34","26","0","0","0","0","0"
"AA","01/04/2022","0366","N339PL","ORD","20:30","20:26","174","156","-4","20:45","19","0","0","0","0","0"
"AA","01/04/2022","0429","N108NN","SNA","16:35","16:27","386","403","-8","16:51","24","0","0","0","0","0"
"AA","01/04/2022","0442","N104NN","BOS","15:45","15:46","75","68","1","16:02","16","0","0","0","0","0"
"AA","01/04/2022","0493","N730US","CLT","12:00","11:56","125","108","-4","12:11","15","0","0","0","0","0"
"AA","01/04/2022","0495","N944NN","CLT","09:25","09:29","132","109","4","09:41","12","0","0","0","0","0"
"AA","01/04/2022","0595","N885NN","MIA","11:00","11:00","193","192","0","11:26","26","0","0","0","0","0"
"AA","01/04/2022","0688","N793AN","MIA","13:00","12:55","190","171","-5","13:09","14","0","0","0","0","0"
"AA","01/04/2022","0936","N8030F","STT","09:25","09:21","235","235","-4","09:47","26","0","0","0","0","0"
"AA","01/04/2022","1032","N722AN","MIA","09:15","09:33","185","184","18","09:54","21","0","17","0","0","0"
"AA","01/04/2022","1174","N316RK","MIA","18:15","20:10","195","190","115","20:38","28","85","0","0","0","25"
"AA","01/04/2022","1228","N855NN","MIA","09:40","09:37","193","186","-3","09:58","21","0","0","0","0","0"
"AA","01/04/2022","1274","N986NN","DFW","18:30","18:27","255","226","-3","18:44","17","0","0","0","0","0"
"AA","01/04/2022","1330","N934NN","LAS","20:40","20:37","366","362","-3","20:55","18","0","0","0","0","0"
"AA","01/04/2022","1355","N709UW","CLT","19:29","19:26","131","114","-3","19:48","22","0","0","0","0","0"
