"tiles-wrapper src","tiles-wrapper","pull-left src","pull-left","col-xs-12"
"https://www.newarkairport.com/static/img/srs/Shop.svg","Hudson News","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Gates A30-39","Gifts & Souvenirs, Books & Magazines"
"https://www.newarkairport.com/static/img/srs/Shop.svg","Hudson News","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Near A3 Concourse Entrance","Travel Essentials, Grab & Go, Gifts & Souvenirs"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Hudson News Group","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Satellite","$2 Water"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Hudson News Group","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Satellite","$2 Water"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Hudson News Group","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Headhouse","$2 Water"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Hudson News Group - Booksellers","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Headhouse","$2 Water"
"https://www.newarkairport.com/static/img/srs/Shop.svg","InMotion Entertainment","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Concourse","Electronics"
"https://www.newarkairport.com/static/img/srs/Shop.svg","InMotion Entertainment","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Satellite - Connector","Electronics"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Jamba Juice","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A Food Court","Restaurants, Grab & Go"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Jersey Mike's","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A Food Court","Restaurants, Grab & Go"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","MAMAVA Lactation Pod","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Level 2 Pre-Security Arrivals/Baggage Claims, Near Door #8","MAMAVA Lactation Pod"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","MAMAVA Lactation Pod","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Terminal A2 Satellite/Gates Area, Located from across Gate A28 near interterminal transfer busing elevator/stairs","MAMAVA Lactation Pod"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","MAMAVA Lactation Pod","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Terminal A3 Satellite/Food court area, Between the center food court and gate 32","MAMAVA Lactation Pod"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Manchu Wok","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A Food Court","Restaurants, Grab & Go"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Manchu Wok","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Headhouse","$2 Water"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Market Express","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Satellite - Facing Gate A27","$2 Water"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Market Express (Temporarily Closed)","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Near A3 Concourse Entrance","Grab & Go"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Market Fresh","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Satellite","Grab & Go"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Nature's Kitchen","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Near A3 Concourse Entrance","Grab & Go"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","Nursing Suite","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Near gates A30-39","Nursing Suites"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Olde Glory Coffee","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Rotunda","Grab & Go, Coffee & Tea"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Phillips Seafood","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Rotunda","Restaurants"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Qdoba Mexican Grill","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A Food Court","Restaurants, Grab & Go"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Ruby Tuesday","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Rotunda","Restaurants, Grab & Go"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Ruby Tuesday","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Satellite","$2 Water"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","Service Animal/ Pet Relief Area","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A Courtyard, Outside West side","Service Animal & Pet Relief"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","Service Animal/ Pet Relief Area","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A-2 satellite (next to restroom)","Service Animal & Pet Relief"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","Service Animal/ Pet Relief Area","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A-3 satellite (next to restroom)","Service Animal & Pet Relief"
"https://www.newarkairport.com/static/img/srs/Shop.svg","SouveNEAR","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Satellite","Gifts & Souvenirs"
"https://www.newarkairport.com/static/img/srs/Shop.svg","SouveNEAR","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Satellite","Gifts & Souvenirs"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","United Club A2 Lounge","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Concourse","Lounges"
