carrier_code,date,month,day,year,flight_number,tail_number,destination_airport,airline_name
UA,2021-12-28T05:00:00Z,12,28,2021,0523,NA,SFO,United Air Lines
AS,2021-12-29T05:00:00Z,12,29,2021,0007,N921VA,SEA,Alaska Airlines
B6,2021-12-29T05:00:00Z,12,29,2021,0116,N267JB,SYR,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0355,N995JL,ONT,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0385,N316JB,RDU,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0486,N192JB,ROC,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0518,N247JB,BOS,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0575,N796JB,MSY,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0586,N328JB,ROC,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0669,N570JB,SJC,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0745,N655JB,PSE,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0803,N789JB,SJU,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,0839,N2029J,BQN,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,1073,N323JB,BNA,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,1415,N935JB,SFO,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,1881,N645JB,IAH,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,2103,N956JT,SJU,JetBlue Airways
B6,2021-12-29T05:00:00Z,12,29,2021,2893,N809JB,MIA,JetBlue Airways
DL,2021-12-29T05:00:00Z,12,29,2021,0445,N827MH,LAS,Delta Air Lines
DL,2021-12-29T05:00:00Z,12,29,2021,0639,N858DZ,SJU,Delta Air Lines
DL,2021-12-29T05:00:00Z,12,29,2021,2422,N325DN,MCO,Delta Air Lines
UA,2021-12-29T05:00:00Z,12,29,2021,0521,NA,SFO,United Air Lines
B6,2021-12-30T05:00:00Z,12,30,2021,0071,N580JB,SLC,JetBlue Airways
B6,2021-12-30T05:00:00Z,12,30,2021,0081,N586JB,RNO,JetBlue Airways
