airline_name,date,month,day,year,flight_number,destination_airport,scheduled_hour,scheduled_departure_time,scheduled_elapsed_time_minutes
JetBlue Airways,2021-12-31,12,31,2021,1183,MCO,20,20:05,185
JetBlue Airways,2021-12-31,12,31,2021,1201,FLL,14,14:30,196
JetBlue Airways,2021-12-31,12,31,2021,1277,JAX,20,20:30,164
JetBlue Airways,2021-12-31,12,31,2021,1601,FLL,13,13:30,197
JetBlue Airways,2021-12-31,12,31,2021,1701,FLL,21,21:50,187
JetBlue Airways,2021-12-31,12,31,2021,2155,EYW,07,07:45,217
JetBlue Airways,2021-12-31,12,31,2021,2516,SYR,21,21:45,74
JetBlue Airways,2021-12-31,12,31,2021,2893,MIA,20,20:55,198
Delta Air Lines,2021-12-31,12,31,2021,0430,LAS,15,15:20,363
Endeavor Air,2022-01-01,1,1,2022,4654,DTW,15,15:00,132
American Airlines,2022-01-01,1,1,2022,1245,ORD,19,19:55,173
American Airlines,2022-01-01,1,1,2022,2813,AUS,08,08:00,261
Alaska Airlines,2022-01-01,1,1,2022,0479,PDX,07,07:30,388
Alaska Airlines,2022-01-01,1,1,2022,0657,SFO,18,18:35,418
Alaska Airlines,2022-01-01,1,1,2022,0900,SAN,09,09:30,375
JetBlue Airways,2022-01-01,1,1,2022,0001,FLL,05,05:43,187
JetBlue Airways,2022-01-01,1,1,2022,0163,SRQ,08,08:00,195
JetBlue Airways,2022-01-01,1,1,2022,0186,ROC,10,10:40,80
JetBlue Airways,2022-01-01,1,1,2022,0234,BTV,22,22:00,76
JetBlue Airways,2022-01-01,1,1,2022,0285,RDU,08,08:40,111
JetBlue Airways,2022-01-01,1,1,2022,0553,PBI,20,20:00,189
JetBlue Airways,2022-01-01,1,1,2022,0723,LAX,08,08:00,391
JetBlue Airways,2022-01-01,1,1,2022,0803,SJU,13,13:45,235
JetBlue Airways,2022-01-01,1,1,2022,0841,SAV,06,06:30,137
JetBlue Airways,2022-01-01,1,1,2022,1083,MCO,09,09:30,188
JetBlue Airways,2022-01-01,1,1,2022,1119,ATL,13,13:10,158
